elapsed_time_sec,ch0_voltage,ch1_voltage,ch2_voltage,ch3_voltage
46.650085,-0.0036698366,-0.006827456,-0.00658993,0.027522467
46.66007,-0.0029742674,-0.004824052,-0.0049842475,0.027337385
46.670082,-0.0022544276,-0.004882718,-0.0051156427,0.028454427
46.68009,-0.0039515747,-0.0066047884,-0.007195821,0.027074631
46.690075,-0.0015023928,-0.0057934937,-0.005429647,0.028858535
46.70008,-0.0035222492,-0.0063134083,-0.0070966566,0.028412923
46.710068,-0.0023445438,-0.0040557063,-0.0046978733,0.026876256
46.72008,-0.0019170044,-0.00537725,-0.00574843,0.028608484
46.730087,-0.004404461,-0.0065642046,-0.006854364,0.027292795
46.740074,-0.0027061668,-0.0042462167,-0.0044136983,0.028981153
46.75008,-0.0036467842,-0.0067171264,-0.0065809176,0.02901258
46.76007,-0.002040593,-0.005024876,-0.0048021944,0.027766416
46.770077,-0.0024533358,-0.004891731,-0.005249356,0.029347472
46.78009,-0.0037702166,-0.0072600697,-0.007083114,0.027292866
46.790073,-0.0024077776,-0.005385624,-0.004819924,0.029570248
46.80008,-0.0036662526,-0.0063196532,-0.006928264,0.028582675
46.81007,-0.001902908,-0.004707122,-0.005576241,0.027240457
46.82008,-0.0029644503,-0.0057213064,-0.0051282155,0.02865701
46.830086,-0.0036766494,-0.008199138,-0.0066463132,0.027722206
46.840073,-0.0030172851,-0.0052194907,-0.0046387813,0.028721284
46.85008,-0.0043138387,-0.006043297,-0.0058517363,0.029206686
46.86007,-0.0031390404,-0.00427568,-0.006202454,0.028167697
46.87008,-0.0024066514,-0.004704556,-0.0048826467,0.02859359
46.880085,-0.004171335,-0.008121687,-0.0069714356,0.028844874
46.89007,-0.002389241,-0.004359849,-0.0053201807,0.028833685
46.900078,-0.0036033762,-0.00679765,-0.007230181,0.029204475
46.91007,-0.0032903394,-0.005076327,-0.00613197,0.027466508
46.920074,-0.0024537144,-0.0053795325,-0.005080346,0.029411672
46.930084,-0.004035162,-0.0072947606,-0.006904209,0.028053429
46.94007,-0.0023297945,-0.005583233,-0.0055222115,0.029409345
46.950077,-0.003352816,-0.006138333,-0.0069752918,0.029070288
46.96007,-0.0024333468,-0.005534796,-0.0065048174,0.0271715
46.970074,-0.002122891,-0.004590394,-0.0044748127,0.028956233
